Year,Type,Country,Area,Activity,Sex ,Fatal
2018.0,Boating,USA,California,Paddling,F,False
2018.0,Unprovoked,USA,Georgia,Standing,F,False
2018.0,Invalid,USA,Hawaii,Surfing,M,False
2018.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2018.0,Provoked,MEXICO,Colima,Free diving,M,False
2018.0,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,False
2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2018.0,Unprovoked,USA,Florida,Fishing,M,False
2018.0,Unprovoked,USA,Florida,Walking,M,False
2018.0,Unprovoked,USA,Florida,Standing,M,False
2018.0,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,False
2018.0,Unprovoked,USA,South Carolina,Boogie boarding,M,False
2018.0,Unprovoked,USA,South Carolina,Swimming,M,False
2018.0,Invalid,ENGLAND,Cornwall,Fishing,M,False
2018.0,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,False
2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,False
2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,False
2018.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,False
2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,False
2018.0,Unprovoked,USA,Hawaii,Body boarding,M,False
2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,False
2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,True
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2018.0,Unprovoked,BAHAMAS,New Providence,Surfing,M,False
2018.0,Invalid,BRAZIL,Alagoas,Fishing,M,False
2018.0,Unprovoked,NEW CALEDONIA,,Windsurfing,,False
2018.0,Unprovoked,BAHAMAS,,Swimming,M,False
2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2018.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Wading,M,False
2018.0,Unprovoked,AUSTRALIA,Victoria,Swimming,M,False
2018.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,False
2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,False
2018.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,False
2018.0,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,False
2018.0,Unprovoked,AUSTRALIA,New South Wales,Walking,M,False
2018.0,Invalid,AUSTRALIA,Queensland,Swimming,F,False
2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,False
2018.0,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,False
2018.0,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,,M,False
2018.0,Unprovoked,NEW CALEDONIA,,Spearfishing,M,False
2018.0,Unprovoked,AUSTRALIA,Queensland,Diving,M,False
2018.0,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,False
2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,False
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2017.0,Unprovoked,USA,Hawaii,Surfing,F,False
2017.0,Unprovoked,USA,California,Surfing,F,False
2017.0,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,False
2017.0,Unprovoked,BAHAMAS,,Snorkeling,F,False
